DATE,A939RX0Q048SBEA
2018-10-01,61619.0
2019-01-01,61889.0
2019-04-01,62331.0
2019-07-01,62945.0
2019-10-01,63257.0
2020-01-01,62333.0
2020-04-01,57386.0
2020-07-01,61806.0
2020-10-01,62414.0
2021-01-01,63227.0
2021-04-01,64157.0
2021-07-01,64615.0
2021-10-01,65651.0
2022-01-01,65286.0
2022-04-01,65127.0
2022-07-01,65462.0
2022-10-01,65783.0
2023-01-01,66078.0
2023-04-01,66341.0
2023-07-01,67083.0
